date_time_bucket,passenger_count
2012-06-01 00:00,22167
2012-06-01 00:30,19331
2012-06-01 01:00,15260
2012-06-01 01:30,11935
2012-06-01 02:00,10553
2012-06-01 02:30,8126
2012-06-01 03:00,6507
2012-06-01 03:30,5265
2012-06-01 04:00,4773
2012-06-01 04:30,3530
2012-06-01 05:00,3159
2012-06-01 05:30,4911
2012-06-01 06:00,7177
2012-06-01 06:30,11867
2012-06-01 07:00,15535
2012-06-01 07:30,20431
2012-06-01 08:00,22474
2012-06-01 08:30,22296
2012-06-01 09:00,21177
2012-06-01 09:30,20765
2012-06-01 10:00,19441
2012-06-01 10:30,19883
2012-06-01 11:00,18705
2012-06-01 11:30,20561
2012-06-01 12:00,20207
2012-06-01 12:30,20571
2012-06-01 13:00,19525
2012-06-01 13:30,20268
2012-06-01 14:00,21851
2012-06-01 14:30,22031
2012-06-01 15:00,21061
2012-06-01 15:30,18649
2012-06-01 16:00,16952
2012-06-01 16:30,16103
2012-06-01 17:00,18523
2012-06-01 17:30,22673
2012-06-01 18:00,25777
2012-06-01 18:30,28265
2012-06-01 19:00,30419
2012-06-01 19:30,30616
2012-06-01 20:00,29186
2012-06-01 20:30,28466
2012-06-01 21:00,27158
2012-06-01 21:30,27802
2012-06-01 22:00,30945
2012-06-01 22:30,30002
2012-06-01 23:00,29278
2012-06-01 23:30,30438
2012-06-02 00:00,28910
2012-06-02 00:30,28358
2012-06-02 01:00,25636
2012-06-02 01:30,23168
2012-06-02 02:00,20480
2012-06-02 02:30,17711
2012-06-02 03:00,14034
2012-06-02 03:30,12534
2012-06-02 04:00,10125
2012-06-02 04:30,6013
2012-06-02 05:00,4191
2012-06-02 05:30,3609
2012-06-02 06:00,3698
2012-06-02 06:30,4629
2012-06-02 07:00,6377
2012-06-02 07:30,8970
2012-06-02 08:00,8717
2012-06-02 08:30,10875
2012-06-02 09:00,11722
2012-06-02 09:30,15253
2012-06-02 10:00,15673
2012-06-02 10:30,18038
2012-06-02 11:00,18201
2012-06-02 11:30,19853
2012-06-02 12:00,19427
2012-06-02 12:30,20735
2012-06-02 13:00,20976
2012-06-02 13:30,20496
2012-06-02 14:00,20100
2012-06-02 14:30,20361
2012-06-02 15:00,20129
2012-06-02 15:30,20513
2012-06-02 16:00,19337
2012-06-02 16:30,18182
2012-06-02 17:00,20463
2012-06-02 17:30,23770
2012-06-02 18:00,24537
2012-06-02 18:30,25669
2012-06-02 19:00,27460
2012-06-02 19:30,27749
2012-06-02 20:00,24414
2012-06-02 20:30,24199
2012-06-02 21:00,25172
2012-06-02 21:30,26571
2012-06-02 22:00,27827
2012-06-02 22:30,29258
2012-06-02 23:00,30350
2012-06-02 23:30,31386
2012-06-03 00:00,30392
2012-06-03 00:30,29059
2012-06-03 01:00,26876
2012-06-03 01:30,25106
2012-06-03 02:00,23234
2012-06-03 02:30,21467
2012-06-03 03:00,18657
2012-06-03 03:30,16266
2012-06-03 04:00,13581
2012-06-03 04:30,8474
2012-06-03 05:00,5394
2012-06-03 05:30,3750
2012-06-03 06:00,3571
2012-06-03 06:30,3863
2012-06-03 07:00,4664
2012-06-03 07:30,6146
2012-06-03 08:00,6184
2012-06-03 08:30,8324
2012-06-03 09:00,9833
2012-06-03 09:30,12795
2012-06-03 10:00,14171
2012-06-03 10:30,16710
2012-06-03 11:00,17358
2012-06-03 11:30,18330
2012-06-03 12:00,18812
2012-06-03 12:30,19235
2012-06-03 13:00,18814
2012-06-03 13:30,19697
2012-06-03 14:00,20264
2012-06-03 14:30,22133
2012-06-03 15:00,18409
2012-06-03 15:30,17075
2012-06-03 16:00,18014
2012-06-03 16:30,17240
2012-06-03 17:00,18505
2012-06-03 17:30,21809
2012-06-03 18:00,21670
2012-06-03 18:30,20309
2012-06-03 19:00,20043
2012-06-03 19:30,19189
2012-06-03 20:00,18658
2012-06-03 20:30,18343
2012-06-03 21:00,17608
2012-06-03 21:30,18185
2012-06-03 22:00,17507
2012-06-03 22:30,16348
2012-06-03 23:00,14168
2012-06-03 23:30,12928
2012-06-04 00:00,10543
2012-06-04 00:30,7979
2012-06-04 01:00,6113
2012-06-04 01:30,5057
2012-06-04 02:00,3931
2012-06-04 02:30,3245
2012-06-04 03:00,2471
2012-06-04 03:30,2145
2012-06-04 04:00,2254
2012-06-04 04:30,2305
2012-06-04 05:00,2641
2012-06-04 05:30,4327
2012-06-04 06:00,7147
2012-06-04 06:30,11944
2012-06-04 07:00,15812
2012-06-04 07:30,20393
2012-06-04 08:00,21536
2012-06-04 08:30,22416
2012-06-04 09:00,21885
2012-06-04 09:30,21209
2012-06-04 10:00,19900
2012-06-04 10:30,20987
2012-06-04 11:00,18999
2012-06-04 11:30,20560
2012-06-04 12:00,20299
2012-06-04 12:30,19916
2012-06-04 13:00,18061
2012-06-04 13:30,19167
2012-06-04 14:00,18902
2012-06-04 14:30,21476
2012-06-04 15:00,21295
2012-06-04 15:30,18714
2012-06-04 16:00,16735
2012-06-04 16:30,16585
2012-06-04 17:00,18023
2012-06-04 17:30,22668
2012-06-04 18:00,25589
2012-06-04 18:30,25563
2012-06-04 19:00,25754
2012-06-04 19:30,25824
2012-06-04 20:00,24693
2012-06-04 20:30,24236
2012-06-04 21:00,24529
2012-06-04 21:30,22633
2012-06-04 22:00,23105
2012-06-04 22:30,21398
2012-06-04 23:00,17182
2012-06-04 23:30,14519
2012-06-05 00:00,11851
2012-06-05 00:30,9133
2012-06-05 01:00,7047
2012-06-05 01:30,4913
2012-06-05 02:00,4199
2012-06-05 02:30,3101
2012-06-05 03:00,2579
2012-06-05 03:30,2125
2012-06-05 04:00,2203
2012-06-05 04:30,1944
2012-06-05 05:00,2406
2012-06-05 05:30,4175
2012-06-05 06:00,6968
2012-06-05 06:30,12089
2012-06-05 07:00,16545
2012-06-05 07:30,21703
2012-06-05 08:00,23415
2012-06-05 08:30,23382
2012-06-05 09:00,22738
2012-06-05 09:30,21849
2012-06-05 10:00,19989
2012-06-05 10:30,20236
2012-06-05 11:00,19860
2012-06-05 11:30,21552
2012-06-05 12:00,21666
